                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2317,                  4.962,                 1.1844,                0.20946,                 0.0735,                0.03088,                0.02103,                 1.1972,                 3.8478,                 1.1897,               0.070141,              0.0033177,              0.0033177
                      1,                  1.268,                 4.0915,                 1.2025,                0.47209,                0.05779,                0.03358,                0.02612,                 1.3267,                 3.7415,                 1.3561,               0.040075,              0.0065852,              0.0065852
                      2,                 1.3491,                 3.8817,                 1.2325,                0.34062,                0.04093,                0.01481,                0.00983,                 1.4789,                 4.0187,                 1.4212,              0.0099432,              0.0097867,              0.0097867
                      3,                 1.4189,                 3.8455,                 1.2875,                0.43814,                0.05538,                0.05259,                0.03595,                 1.7601,                 3.9345,                 1.5877,               0.009703,               0.009703,               0.009703
                      4,                 1.3902,                  3.679,                 1.2506,                0.31934,                0.12152,                0.06472,                0.04917,                  1.356,                 4.0492,                 1.3063,               0.009703,               0.009703,               0.009703
                      5,                 1.3481,                 3.5376,                 1.2225,                0.33622,                0.10955,                0.05232,                0.03497,                 1.3167,                  3.348,                 1.2735,               0.009604,               0.009604,               0.009604
                      6,                 1.3244,                 3.4338,                 1.2128,                0.24328,                0.13126,                0.04658,                0.03324,                 1.3724,                 3.7554,                 1.2856,               0.009505,               0.009505,               0.009505
                      7,                 1.3034,                 3.3086,                 1.1933,                0.43513,                0.12414,                 0.0817,                0.06127,                 1.4041,                 3.3478,                 1.3104,               0.009406,               0.009406,               0.009406
                      8,                 1.2634,                 3.2021,                 1.1853,                0.33413,                0.11707,                0.08479,                0.06351,                  1.243,                 3.1291,                 1.2243,               0.009307,               0.009307,               0.009307
                      9,                 1.2629,                 3.0795,                 1.1879,                0.35034,                0.09658,                0.06445,                0.04371,                 1.3185,                 3.1693,                 1.2567,               0.009208,               0.009208,               0.009208
                     10,                 1.2572,                 2.9951,                 1.1743,                0.23775,                0.11178,                0.07146,                0.05576,                 1.2783,                 3.5991,                 1.2535,               0.009109,               0.009109,               0.009109
                     11,                 1.2434,                 2.9274,                 1.1736,                0.36045,                0.13363,                0.10848,                 0.0825,                 1.3055,                 3.0832,                 1.2534,                0.00901,                0.00901,                0.00901
                     12,                  1.243,                 2.8347,                 1.1616,                0.26698,                0.16267,                0.11028,                0.08758,                 1.2312,                 2.9976,                 1.2157,               0.008911,               0.008911,               0.008911
                     13,                 1.2137,                 2.7365,                 1.1532,                0.22586,                0.13538,                0.08737,                0.06616,                  1.295,                  3.226,                 1.2475,               0.008812,               0.008812,               0.008812
                     14,                 1.2081,                 2.7066,                 1.1497,                 0.2854,                0.09978,                0.07973,                0.05801,                 1.4285,                 3.3953,                 1.3172,               0.008713,               0.008713,               0.008713
